wrist,abd,mcp,pip
0.0,2.273,1.0,2.0
0.0,-4.091,0.0,1.0
0.0,3.182,1.0,0.0
0.0,2.273,3.0,2.0
0.0,3.182,3.0,3.0
0.0,0.455,1.0,1.0
0.0,-3.182,2.0,0.0
0.0,-3.182,0.0,2.0
0.0,-3.182,1.0,3.0
0.0,0.455,2.0,1.0
0.0,-3.182,2.0,2.0
0.0,-1.364,2.0,0.0
0.0,-2.273,2.0,0.0
0.0,3.182,1.0,2.0
0.0,-0.455,3.0,2.0
0.0,2.273,3.0,3.0
0.0,-3.182,1.0,0.0
0.0,-3.182,3.0,0.0
0.0,-2.273,3.0,3.0
0.0,-4.091,2.0,0.0
0.0,-2.273,1.0,1.0
0.0,3.182,1.0,3.0
0.0,-4.091,2.0,1.0
0.0,-5.0,3.0,1.0
0.0,-4.091,2.0,3.0
0.0,-1.364,0.0,2.0
0.0,-4.091,1.0,1.0
0.0,1.364,3.0,1.0
0.0,-0.455,2.0,0.0
0.0,-2.273,2.0,3.0
0.0,2.273,0.0,2.0
0.0,-1.364,1.0,1.0
0.0,-5.0,1.0,3.0
0.0,1.364,3.0,3.0
0.0,3.182,0.0,1.0
0.0,-5.0,0.0,2.0
0.0,0.455,2.0,2.0
0.0,-5.0,3.0,0.0
0.0,-4.091,1.0,2.0
0.0,-0.455,0.0,3.0
0.0,1.364,1.0,2.0
0.0,-0.455,2.0,2.0
0.0,-5.0,1.0,0.0
0.0,-5.0,2.0,3.0
0.0,-3.182,1.0,2.0
0.0,-2.273,1.0,3.0
0.0,2.273,2.0,3.0
0.0,-1.364,1.0,3.0
0.0,2.273,0.0,0.0
0.0,-4.091,1.0,0.0
0.0,-4.091,1.0,3.0
0.0,3.182,3.0,1.0
0.0,0.455,3.0,3.0
0.0,3.182,0.0,0.0
0.0,-3.182,1.0,1.0
0.0,3.182,2.0,1.0
0.0,-4.091,3.0,0.0
0.0,-2.273,1.0,0.0
0.0,3.182,0.0,2.0
0.0,-0.455,1.0,1.0
0.0,-5.0,3.0,3.0
0.0,2.273,2.0,0.0
0.0,-3.182,3.0,2.0
0.0,-1.364,2.0,2.0
0.0,0.455,1.0,3.0
0.0,3.182,0.0,3.0
0.0,-5.0,2.0,1.0
0.0,-0.455,0.0,1.0
0.0,-2.273,3.0,0.0
0.0,3.182,3.0,2.0
0.0,-0.455,2.0,1.0
0.0,-1.364,1.0,0.0
0.0,1.364,0.0,1.0
0.0,-3.182,0.0,3.0
0.0,-2.273,0.0,0.0
0.0,0.455,1.0,2.0
0.0,-4.091,0.0,3.0
0.0,1.364,0.0,3.0
0.0,0.455,0.0,1.0
0.0,-1.364,3.0,3.0
0.0,-3.182,2.0,1.0
0.0,-3.182,0.0,0.0
0.0,-3.182,3.0,1.0
0.0,2.273,2.0,1.0
0.0,3.182,1.0,1.0
0.0,1.364,1.0,3.0
0.0,0.455,3.0,1.0
0.0,0.455,0.0,3.0
0.0,-1.364,0.0,3.0
0.0,3.182,2.0,2.0
0.0,2.273,3.0,0.0
0.0,2.273,0.0,3.0
0.0,3.182,3.0,0.0
0.0,-5.0,3.0,2.0
0.0,1.364,3.0,2.0
0.0,1.364,2.0,0.0
0.0,-5.0,2.0,0.0
0.0,-1.364,2.0,3.0
0.0,-5.0,1.0,2.0
0.0,-3.182,2.0,3.0
0.0,0.455,3.0,2.0
0.0,1.364,1.0,1.0
0.0,-2.273,0.0,2.0
0.0,-5.0,0.0,0.0
0.0,1.364,2.0,2.0
0.0,-2.273,1.0,2.0
0.0,-4.091,3.0,3.0
0.0,-1.364,0.0,0.0
0.0,0.455,1.0,0.0
0.0,-5.0,2.0,2.0
0.0,-4.091,3.0,2.0
0.0,1.364,0.0,0.0
0.0,-2.273,2.0,2.0
0.0,-4.091,0.0,0.0
0.0,0.455,2.0,0.0
0.0,-1.364,2.0,1.0
0.0,0.455,2.0,3.0
0.0,2.273,0.0,1.0
0.0,2.273,1.0,3.0
0.0,-0.455,3.0,0.0
0.0,-0.455,2.0,3.0
0.0,-0.455,1.0,3.0
0.0,-1.364,1.0,2.0
0.0,-4.091,2.0,2.0
0.0,-5.0,1.0,1.0
0.0,2.273,1.0,1.0
0.0,3.182,2.0,3.0
0.0,1.364,3.0,0.0
0.0,0.455,3.0,0.0
0.0,3.182,2.0,0.0
0.0,-2.273,2.0,1.0
0.0,-0.455,1.0,0.0
0.0,-0.455,3.0,1.0
0.0,-2.273,0.0,3.0
0.0,-3.182,3.0,3.0
0.0,1.364,2.0,3.0
0.0,0.455,0.0,2.0
0.0,-0.455,0.0,2.0
0.0,-3.182,0.0,1.0
0.0,-4.091,3.0,1.0
0.0,-2.273,0.0,1.0
0.0,-1.364,3.0,0.0
0.0,-1.364,3.0,1.0
0.0,-0.455,3.0,3.0
0.0,-0.455,1.0,2.0
0.0,-2.273,3.0,2.0
0.0,-5.0,0.0,1.0
0.0,1.364,2.0,1.0
0.0,-1.364,3.0,2.0
0.0,1.364,0.0,2.0
0.0,-5.0,0.0,3.0
0.0,-2.273,3.0,1.0
0.0,0.455,0.0,0.0
0.0,-0.455,0.0,0.0
0.0,1.364,1.0,0.0
0.0,2.273,2.0,2.0
0.0,2.273,3.0,1.0
0.0,-4.091,0.0,2.0
0.0,-1.364,0.0,1.0
0.0,2.273,1.0,0.0
